id,y,e,L,V,c
h2o_r,0.0,0.0,0.0,0.0,0.0
h_r,0.0,0.0,0.0,0.0,0.0
o2_c,0.0,0.0,0.0,0.0,0.0
nh4_c,0.0,0.0,0.0,0.0,0.0
h2o2_c,0.0,0.0,0.0,0.0,0.0
pro_L_c,0.222059892,0.0,0.0,0.0,0.0
nad_c,0.0,0.0,0.0,0.0,0.0
h_c,-29.83030991,-2.24868,0.0,0.0,0.0
1pyr5c_c,0.0,0.0,0.0,0.0,0.0
nadh_c,0.0,0.0,0.0,0.0,0.0
nadp_c,0.0,0.0,0.0,0.0,0.0
nadph_c,0.0,0.0,0.0,0.0,0.0
h2o_c,24.74849172,2.24868,0.0,0.0,0.0
4nph_c,0.0,0.0,0.0,0.0,0.0
paps_c,0.0,0.0,0.0,0.0,0.0
pap_c,0.0,0.0,0.0,0.0,0.0
4nphsf_c,0.0,0.0,0.0,0.0,0.0
ddca_c,0.0,0.0,0.0,0.0,0.0
whddca_c,0.0,0.0,0.0,0.0,0.0
ttdca_c,0.0,0.0,0.0,0.0,0.0
whttdca_c,0.0,0.0,0.0,0.0,0.0
hdca_c,0.0,0.0,0.0,0.0,0.0
whhdca_c,0.0,0.0,0.0,0.0,0.0
antipyrene_c,0.0,0.0,0.0,0.0,0.0
dmantipyrine_c,0.0,0.0,0.0,0.0,0.0
meoh_c,0.0,0.0,0.0,0.0,0.0
taxol_c,0.0,0.0,0.0,0.0,0.0
htaxol_c,0.0,0.0,0.0,0.0,0.0
24nph_c,0.0,0.0,0.0,0.0,0.0
nadph_r,0.0,0.0,0.0,0.0,0.0
o2_r,0.0,0.0,0.0,0.0,0.0
nadp_r,0.0,0.0,0.0,0.0,0.0
ocACP_c,0.0,0.0,0.0,0.0,0.0
malcoa_c,0.0,0.0,0.0,0.0,0.0
coa_c,0.0,0.0,0.0,0.0,0.0
dcaACP_c,0.0,0.0,0.0,0.0,0.0
co2_c,0.0,0.0,0.0,0.0,0.0
