id,lb,ub,ap,an
4NPHSULT,0.0,1000.0,0.009686609686609686,0.009686609686609686
FAH1,0.0,1000.0,0.01215099715099715,0.01215099715099715
FAH2,0.0,1000.0,0.01215099715099715,0.01215099715099715
FAH3,0.0,1000.0,0.01215099715099715,0.01215099715099715
P4502C18,0.0,1000.0,0.01215099715099715,0.01215099715099715
P4502C8,0.0,1000.0,0.01215099715099715,0.01215099715099715
P4502E1,0.0,1000.0,0.01215099715099715,0.01215099715099715
FAS100ACP,0.0,1000.0,0.01215099715099715,0.01215099715099715
FAS140ACP,0.0,1000.0,0.01215099715099715,0.01215099715099715
FAS160ACP,0.0,1000.0,0.01215099715099715,0.01215099715099715
FAS180ACP,0.0,1000.0,0.01215099715099715,0.01215099715099715
FAS80ACP_L,0.0,1000.0,0.01215099715099715,0.01215099715099715
KAS8,0.0,1000.0,0.010113960113960114,0.010113960113960114
ACCOAC,0.0,1000.0,0.07997730455357574,0.07997730455357574
BMTer,0.0,1000.0,0.01215099715099715,0.01215099715099715
GPIMTer,0.0,1000.0,0.01215099715099715,0.01215099715099715
H2MTer,0.0,1000.0,0.01215099715099715,0.01215099715099715
H3MTer,0.0,1000.0,0.01215099715099715,0.01215099715099715
H5MTer,0.0,1000.0,0.01215099715099715,0.01215099715099715
FBA4,-1000.0,1000.0,0.013603988603988605,0.21959686320323335
GCALDD,0.0,1000.0,0.032051282051282055,0.032051282051282055
GLXO1,0.0,1000.0,0.01809116809116809,0.01809116809116809
HPYRR2x,0.0,1000.0,0.01215099715099715,0.01215099715099715
HPYRRx,0.0,1000.0,0.01215099715099715,0.01215099715099715
BDMT_cho,0.0,1000.0,0.01215099715099715,0.01215099715099715
DOLASNTer,0.0,1000.0,0.01215099715099715,0.01215099715099715
DOLPGT1er,0.0,1000.0,0.01215099715099715,0.01215099715099715
DOLPGT2er,0.0,1000.0,0.01215099715099715,0.01215099715099715
DOLPGT3er,0.0,1000.0,0.01215099715099715,0.01215099715099715
DOLPMT1er,0.0,1000.0,0.01215099715099715,0.01215099715099715
DOLPMT3er,0.0,1000.0,0.01215099715099715,0.01215099715099715
M13N4Tg,0.0,1000.0,0.009002849002849003,0.009002849002849003
S26Tg,0.0,1000.0,0.07709454468713728,0.07709454468713728
ALDD19x,-1000.0,1000.0,0.005991220479856844,0.005991220479856844
ALDD19x_P_,0.0,1000.0,0.01215099715099715,0.01215099715099715
2HBO,-1000.0,1000.0,0.007506026736795968,0.0001303755059119866
ACCOAL,0.0,1000.0,0.006297338614411786,0.006297338614411786
ACS2,0.0,1000.0,0.0034914250600525114,0.0034914250600525114
PPCOAOm,0.0,1000.0,0.027544070512820516,0.027544070512820516
2HBt2,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
4HPROLTASCT1,0.0,1000.0,0.01215099715099715,0.01215099715099715
ACACt2,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
ACt2r,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
ADEt,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
ALAASNNaEx,0.0,1000.0,0.01215099715099715,0.01215099715099715
ALACYSNaEx,0.0,1000.0,0.01215099715099715,0.01215099715099715
ALAGLNNaEx,0.0,1000.0,0.01215099715099715,0.01215099715099715
ALASERNaEx,0.0,1000.0,0.01215099715099715,0.01215099715099715
ALAt2r,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
ALAt4,0.0,1000.0,0.01215099715099715,0.01215099715099715
ALATHRNaEx,0.0,1000.0,0.01215099715099715,0.01215099715099715
ARGt5r,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
ASCBt4,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
ASCBt5,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
ASNALANaEx,0.0,1000.0,0.01215099715099715,0.01215099715099715
ASNCYSNaEx,0.0,1000.0,0.01215099715099715,0.01215099715099715
ASNGLNNaEx,0.0,1000.0,0.01215099715099715,0.01215099715099715
ASNSERNaEx,0.0,1000.0,0.01215099715099715,0.01215099715099715
ASNt4,0.0,1000.0,0.01215099715099715,0.01215099715099715
ASNTHRNaEx,0.0,1000.0,0.01215099715099715,0.01215099715099715
ASPDt6,0.0,1000.0,0.01215099715099715,0.01215099715099715
ASPPROASCT1,0.0,1000.0,0.01215099715099715,0.01215099715099715
BILDGLCURte,0.0,1000.0,0.01215099715099715,0.01215099715099715
BILGLCURte,0.0,1000.0,0.01215099715099715,0.01215099715099715
BTNt3,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
BTNt3i,0.0,1000.0,0.01215099715099715,0.01215099715099715
BUTt2r,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
CHOLESTle,0.0,1000.0,0.01215099715099715,0.01215099715099715
CLFORtex,0.0,1000.0,0.01215099715099715,0.01215099715099715
CLHCOtex,0.0,1000.0,0.01215099715099715,0.01215099715099715
CO2t,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
CRNt,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
CRNtHa,0.0,1000.0,0.01215099715099715,0.01215099715099715
CRNtuNa,0.0,1000.0,0.01215099715099715,0.01215099715099715
CYSALANaEx,0.0,1000.0,0.01215099715099715,0.01215099715099715
CYSASNNaEx,0.0,1000.0,0.01215099715099715,0.01215099715099715
CYSGLNNaEx,0.0,1000.0,0.01215099715099715,0.01215099715099715
CYSSERNaEx,0.0,1000.0,0.01215099715099715,0.01215099715099715
CYSt4,0.0,1000.0,0.01215099715099715,0.01215099715099715
CYStec,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
CYSTGLUex,0.0,1000.0,0.01215099715099715,0.01215099715099715
CYSTHRNaEx,0.0,1000.0,0.01215099715099715,0.01215099715099715
DALAt2r,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
FATP1t,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
FATP2t,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
FATP3t,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
FATP6t,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
FATP7t,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
FATP8t,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
FATP9t,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
FE2DMT1,0.0,1000.0,0.01215099715099715,0.01215099715099715
GALt1r,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
