i,k,s,rxn,met
8,1,1.0,4NPHSULT,h_c
14,1,-1.0,4NPHSULT,4nph_c
15,1,-1.0,4NPHSULT,paps_c
16,1,1.0,4NPHSULT,pap_c
17,1,1.0,4NPHSULT,4nphsf_c
3,2,-1.0,FAH1,o2_c
8,2,-1.0,FAH1,h_c
11,2,1.0,FAH1,nadp_c
12,2,-1.0,FAH1,nadph_c
13,2,1.0,FAH1,h2o_c
18,2,-1.0,FAH1,ddca_c
19,2,1.0,FAH1,whddca_c
3,3,-1.0,FAH2,o2_c
8,3,-1.0,FAH2,h_c
11,3,1.0,FAH2,nadp_c
12,3,-1.0,FAH2,nadph_c
13,3,1.0,FAH2,h2o_c
20,3,-1.0,FAH2,ttdca_c
21,3,1.0,FAH2,whttdca_c
3,4,-1.0,FAH3,o2_c
8,4,-1.0,FAH3,h_c
11,4,1.0,FAH3,nadp_c
12,4,-1.0,FAH3,nadph_c
13,4,1.0,FAH3,h2o_c
22,4,-1.0,FAH3,hdca_c
23,4,1.0,FAH3,whhdca_c
3,5,-0.5,P4502C18,o2_c
8,5,-1.0,P4502C18,h_c
11,5,1.0,P4502C18,nadp_c
12,5,-1.0,P4502C18,nadph_c
24,5,-1.0,P4502C18,antipyrene_c
25,5,1.0,P4502C18,dmantipyrine_c
26,5,1.0,P4502C18,meoh_c
3,6,-1.0,P4502C8,o2_c
8,6,-1.0,P4502C8,h_c
11,6,1.0,P4502C8,nadp_c
12,6,-1.0,P4502C8,nadph_c
13,6,1.0,P4502C8,h2o_c
27,6,-1.0,P4502C8,taxol_c
28,6,1.0,P4502C8,htaxol_c
3,7,-1.0,P4502E1,o2_c
8,7,-1.0,P4502E1,h_c
11,7,1.0,P4502E1,nadp_c
12,7,-1.0,P4502E1,nadph_c
13,7,1.0,P4502E1,h2o_c
14,7,-1.0,P4502E1,4nph_c
29,7,1.0,P4502E1,24nph_c
8,8,-3.0,FAS100ACP,h_c
11,8,2.0,FAS100ACP,nadp_c
12,8,-2.0,FAS100ACP,nadph_c
13,8,1.0,FAS100ACP,h2o_c
33,8,-1.0,FAS100ACP,ocACP_c
34,8,-1.0,FAS100ACP,malcoa_c
35,8,1.0,FAS100ACP,coa_c
36,8,1.0,FAS100ACP,dcaACP_c
37,8,1.0,FAS100ACP,co2_c
8,9,-3.0,FAS140ACP,h_c
11,9,2.0,FAS140ACP,nadp_c
12,9,-2.0,FAS140ACP,nadph_c
13,9,1.0,FAS140ACP,h2o_c
34,9,-1.0,FAS140ACP,malcoa_c
35,9,1.0,FAS140ACP,coa_c
37,9,1.0,FAS140ACP,co2_c
38,9,-1.0,FAS140ACP,ddcaACP_c
39,9,1.0,FAS140ACP,myrsACP_c
8,10,-3.0,FAS160ACP,h_c
11,10,2.0,FAS160ACP,nadp_c
12,10,-2.0,FAS160ACP,nadph_c
13,10,1.0,FAS160ACP,h2o_c
34,10,-1.0,FAS160ACP,malcoa_c
35,10,1.0,FAS160ACP,coa_c
37,10,1.0,FAS160ACP,co2_c
39,10,-1.0,FAS160ACP,myrsACP_c
40,10,1.0,FAS160ACP,palmACP_c
8,11,-3.0,FAS180ACP,h_c
11,11,2.0,FAS180ACP,nadp_c
12,11,-2.0,FAS180ACP,nadph_c
13,11,1.0,FAS180ACP,h2o_c
34,11,-1.0,FAS180ACP,malcoa_c
35,11,1.0,FAS180ACP,coa_c
37,11,1.0,FAS180ACP,co2_c
40,11,-1.0,FAS180ACP,palmACP_c
41,11,1.0,FAS180ACP,ocdcaACP_c
8,12,-9.0,FAS80ACP_L,h_c
11,12,6.0,FAS80ACP_L,nadp_c
12,12,-6.0,FAS80ACP_L,nadph_c
13,12,3.0,FAS80ACP_L,h2o_c
33,12,1.0,FAS80ACP_L,ocACP_c
34,12,-3.0,FAS80ACP_L,malcoa_c
35,12,3.0,FAS80ACP_L,coa_c
37,12,3.0,FAS80ACP_L,co2_c
42,12,-1.0,FAS80ACP_L,acACP_c
8,13,-20.0,KAS8,h_c
11,13,14.0,KAS8,nadp_c
12,13,-14.0,KAS8,nadph_c
13,13,6.0,KAS8,h2o_c
22,13,1.0,KAS8,hdca_c
34,13,-7.0,KAS8,malcoa_c
35,13,8.0,KAS8,coa_c
37,13,7.0,KAS8,co2_c
49,13,-1.0,KAS8,accoa_c
8,14,1.0,ACCOAC,h_c
34,14,1.0,ACCOAC,malcoa_c
49,14,-1.0,ACCOAC,accoa_c
50,14,-1.0,ACCOAC,atp_c
51,14,-1.0,ACCOAC,hco3_c
52,14,1.0,ACCOAC,adp_c
53,14,1.0,ACCOAC,pi_c
2,15,1.0,BMTer,h_r
58,15,-1.0,BMTer,dolmanp_r
59,15,-1.0,BMTer,memgacpail_cho_r
60,15,1.0,BMTer,dolp_r
61,15,1.0,BMTer,m2emgacpail_cho_r
2,16,1.0,GPIMTer,h_r
58,16,-1.0,GPIMTer,dolmanp_r
60,16,1.0,GPIMTer,dolp_r
62,16,-1.0,GPIMTer,gacpail_cho_r
63,16,1.0,GPIMTer,mgacpail_cho_r
2,17,1.0,H2MTer,h_r
58,17,-1.0,H2MTer,dolmanp_r
60,17,1.0,H2MTer,dolp_r
63,17,-1.0,H2MTer,mgacpail_cho_r
64,17,1.0,H2MTer,m2gacpail_cho_r
2,18,1.0,H3MTer,h_r
58,18,-1.0,H3MTer,dolmanp_r
60,18,1.0,H3MTer,dolp_r
64,18,-1.0,H3MTer,m2gacpail_cho_r
65,18,1.0,H3MTer,m3gacpail_cho_r
2,19,1.0,H5MTer,h_r
58,19,-1.0,H5MTer,dolmanp_r
59,19,1.0,H5MTer,memgacpail_cho_r
60,19,1.0,H5MTer,dolp_r
66,19,-1.0,H5MTer,emgacpail_cho_r
70,20,-1.0,FBA4,xu1p_D_c
71,20,1.0,FBA4,dhap_c
72,20,1.0,FBA4,gcald_c
7,21,-1.0,GCALDD,nad_c
8,21,2.0,GCALDD,h_c
10,21,1.0,GCALDD,nadh_c
13,21,-1.0,GCALDD,h2o_c
72,21,-1.0,GCALDD,gcald_c
73,21,1.0,GCALDD,glyclt_c
7,22,-1.0,GLXO1,nad_c
8,22,2.0,GLXO1,h_c
10,22,1.0,GLXO1,nadh_c
13,22,-1.0,GLXO1,h2o_c
74,22,-1.0,GLXO1,glx_c
75,22,1.0,GLXO1,oxa_c
7,23,1.0,HPYRR2x,nad_c
