id,c,y,e
13dpg,0,0,0
2pg,0,0,0
3pg,0,1.496,0
6pgc,0,0,0
6pgl,0,0,0
ac,0,0,0
ac[e],0,0,0
acald,0,0,0
acald[e],0,0,0
accoa,0,3.7478,0
acon-C,0,0,0
actp,0,0,0
adp,0,-59.81,-0.0000478
akg,0,-4.1182,0
akg[e],0,0,0
amp,0,0,0
atp,0,59.81,0.0000478
cit,0,0,0
co2,0,0,0
co2[e],0,0,0
coa,0,-3.7478,0
dhap,0,0,0
e4p,0,0.361,0
etoh,0,0,0
etoh[e],0,0,0
f6p,0,0.0709,0
fdp,0,0,0
for,0,0,0
for[e],0,0,0
fru[e],0,0,0
fum,0,0,0
fum[e],0,0,0
g3p,0,0.129,0
g6p,0,0.205,0
glc-D[e],24.9,0,0
gln-L,0,0.2557,0
gln-L[e],3.9,0,0
glu-L,0,4.9414,0.00000395
glu-L[e],0.5,0,0
glx,0,0,0
h2o,0,59.81,0.0000478
h2o[e],100000,0,0
h,0,-59.81,-0.0000478
h[e],100000,0,0
icit,0,0,0
lac-D,0,0,0
lac-D[e],0,0,0
mal-L,0,0,0
mal-L[e],0,0,0
nad,0,3.547,0
nadh,0,-3.547,0
nadp,0,-13.0279,0
nadph,0,13.0279,0
nh4,0,0,0
nh4[e],0,0,0
o2,0,0,0
o2[e],100000,0,0
oaa,0,1.7867,0
pep,0,0.5191,0
pi,0,-59.81,-0.0000478
pi[e],0.41,0,0
pyr,0,2.8328,0
pyr[e],0,0,0
q8,0,0,0
q8h2,0,0,0
r5p,0,0.8977,0
ru5p-D,0,0,0
s7p,0,0,0
succ,0,0,0
succ[e],0,0,0
succoa,0,0,0
xu5p-D,0,0,0
