id,lb,ub,ap,an,t
ACALD,-1000,1000,0.012150997,0.012150997,0
ACALDt,-1000,1000,0.012150997,0.012150997,1
ACKr,-1000,1000,0.012150997,0.012150997,0
ACONTa,-1000,1000,0.012150997,0.012150997,0
ACONTb,-1000,1000,0.012150997,0.012150997,0
ACt2r,-1000,1000,0.012150997,0.012150997,1
ADK1,-1000,1000,9.14E-05,0.000387963,0
AKGDH,0,1000,0.012150997,0.012150997,0
AKGt2r,-1000,1000,0.012150997,0.012150997,1
ALCD2x,-1000,1000,0.012150997,0.012150997,0
ATPS4r,-1000,1000,0.012150997,0.012150997,0
CO2t,-1000,1000,0.012150997,0.012150997,1
CS,0,1000,0.012150997,0.012150997,0
CYTBD,0,1000,0.012150997,0.012150997,0
D_LACt2,-1000,1000,0.012150997,0.012150997,1
ENO,-1000,1000,0.001439985,0.012150997,0
ETOHt2r,-1000,1000,0.012150997,0.012150997,1
EX_ac(e),0,1000,0,0,0
EX_acald(e),0,1000,0,0,0
EX_akg(e),0,1000,0,0,0
EX_co2(e),-1000,1000,0,0,0
EX_etoh(e),0,1000,0,0,0
EX_for(e),0,1000,0,0,0
EX_fru(e),0,1000,0,0,0
EX_fum(e),0,1000,0,0,0
EX_glc(e),-10,1000,0,0,0
EX_gln_L(e),0,1000,0,0,0
EX_glu_L(e),0,1000,0,0,0
EX_h(e),-1000,1000,0,0,0
EX_h2o(e),-1000,1000,0,0,0
EX_lac_D(e),0,1000,0,0,0
EX_mal_L(e),0,1000,0,0,0
EX_nh4(e),-1000,1000,0,0,0
EX_o2(e),-1000,1000,0,0,0
EX_pi(e),-1000,1000,0,0,0
EX_pyr(e),0,1000,0,0,0
EX_succ(e),0,1000,0,0,0
FBA,-1000,1000,0.005696813,0.115511242,0
FBP,0,1000,0.427350427,0.427350427,0
FORt2,0,1000,0.012150997,0.012150997,1
FORti,0,1000,0.012150997,0.012150997,1
FRD7,0,1000,0.012150997,0.012150997,0
FRUpts2,0,1000,0.012150997,0.012150997,1
FUM,-1000,1000,0.000534188,0.012150997,0
FUMt2_2,0,1000,0.012150997,0.012150997,1
G6PDH2r,-1000,1000,0.001309743,0.012150997,0
GAPD,-1000,1000,0.004985755,0.012150997,0
GLCpts,0,1000,0.012150997,0.012150997,1
GLNS,0,1000,0.106336022,0.106336022,0
GLNabc,0,1000,0.012150997,0.012150997,1
GLUDy,-1000,1000,0.000475167,1.06E-05,0
GLUN,0,1000,0.012150997,0.012150997,0
GLUSy,0,1000,0.012150997,0.012150997,0
GLUt2r,-1000,1000,0.012150997,0.012150997,1
GND,0,1000,0.013034188,0.013034188,0
H2Ot,-1000,1000,0.012150997,0.012150997,1
ICDHyr,-1000,1000,1.00E-07,1.00E-07,0
ICL,0,1000,0.012150997,0.012150997,0
LDH_D,-1000,1000,0.012321937,0.000479897,0
MALS,0,1000,0.012150997,0.012150997,0
MALt2_2,0,1000,0.012150997,0.012150997,1
MDH,-1000,1000,8.27E-05,2.50E-06,0
ME1,0,1000,0.00596425,0.00596425,0
ME2,0,1000,0.000195983,0.000195983,0
NADH16,0,1000,0.012150997,0.012150997,0
NADTRHD,0,1000,0.012150997,0.012150997,0
NH4t,-1000,1000,0.012150997,0.012150997,0
O2t,-1000,1000,0.012150997,0.012150997,1
PDH,0,1000,0.008151653,0.008151653,0
PFK,0,1000,0.005601756,0.005601756,0
PFL,0,1000,0.012150997,0.012150997,0
PGI,-1000,1000,0.000137286,9.12E-05,0
PGK,-1000,1000,0.00020521,0.000115372,0
PGL,0,1000,0.006410256,0.006410256,0
PGM,-1000,1000,0.000376283,0.00057316,0
PIt2r,-1000,1000,0.012150997,0.012150997,0
PPC,0,1000,0.238235583,0.238235583,0
PPCK,0,1000,0.012150997,0.012150997,0
PPS,0,1000,0.012150997,0.012150997,0
PTAr,-1000,1000,0.012150997,0.012150997,0
PYK,0,1000,0.00067941,0.00067941,0
PYRt2r,-1000,1000,0.012150997,0.012150997,1
RPE,-1000,1000,0.006410256,0.012150997,0
RPI,-1000,1000,5.12E-05,0.012150997,0
SUCCt2_2,0,1000,0.012150997,0.012150997,1
SUCCt3,0,1000,0.012150997,0.012150997,1
SUCDi,0,1000,0.012150997,0.012150997,0
SUCOAS,-1000,1000,0.016332646,0.013807951,0
TALA,-1000,1000,0.008190883,0.04717002,0
THD2,0,1000,0.012150997,0.012150997,0
TKT1,-1000,1000,0.008479175,0.012150997,0
TKT2,-1000,1000,0.00696767,0.012150997,0
TPI,-1000,1000,0.000184658,4.45E-06,0
