i,k,s,met,rxn
8,1,-1,acald,ACALD
10,1,1,accoa,ACALD
21,1,-1,coa,ACALD
43,1,1,h,ACALD
50,1,-1,nad,ACALD
51,1,1,nadh,ACALD
8,2,1,acald,ACALDt
9,2,-1,acald[e],ACALDt
6,3,-1,ac,ACKr
12,3,1,actp,ACKr
13,3,1,adp,ACKr
17,3,-1,atp,ACKr
11,4,1,acon-C,ACONTa
18,4,-1,cit,ACONTa
41,4,1,h2o,ACONTa
11,5,-1,acon-C,ACONTb
41,5,-1,h2o,ACONTb
45,5,1,icit,ACONTb
6,6,1,ac,ACt2r
7,6,-1,ac(e),ACt2r
43,6,1,h,ACt2r
44,6,-1,h(e),ACt2r
13,7,2,adp,ADK1
16,7,-1,amp,ADK1
17,7,-1,atp,ADK1
14,8,-1,akg,AKGDH
19,8,1,co2,AKGDH
21,8,-1,coa,AKGDH
50,8,-1,nad,AKGDH
51,8,1,nadh,AKGDH
71,8,1,succoa,AKGDH
14,9,1,akg,AKGt2r
15,9,-1,akg(e),AKGt2r
43,9,1,h,AKGt2r
44,9,-1,h(e),AKGt2r
8,10,1,acald,ALCD2x
24,10,-1,etoh,ALCD2x
43,10,1,h,ALCD2x
50,10,-1,nad,ALCD2x
51,10,1,nadh,ALCD2x
13,11,-1,adp,ATPS4r
17,11,1,atp,ATPS4r
41,11,1,h2o,ATPS4r
43,11,3,h,ATPS4r
44,11,-4,h(e),ATPS4r
60,11,-1,pi,ATPS4r
19,12,1,co2,CO2t
20,12,-1,co2(e),CO2t
10,13,-1,accoa,CS
18,13,1,cit,CS
21,13,1,coa,CS
41,13,-1,h2o,CS
43,13,1,h,CS
58,13,-1,oaa,CS
41,14,1,h2o,CYTBD
43,14,-2,h,CYTBD
44,14,2,h(e),CYTBD
56,14,-0.5,o2,CYTBD
64,14,1,q8,CYTBD
65,14,-1,q8h2,CYTBD
43,15,1,h,D-LACt2
44,15,-1,h(e),D-LACt2
46,15,1,lac-D,D-LACt2
47,15,-1,lac-D(e),D-LACt2
2,16,-1,2pg,ENO
41,16,1,h2o,ENO
59,16,1,pep,ENO
24,17,1,etoh,ETOHt2r
25,17,-1,etoh(e),ETOHt2r
43,17,1,h,ETOHt2r
44,17,-1,h(e),ETOHt2r
7,18,-1,ac(e),EX_ac(e)
9,19,-1,acald[e],EX_acald(e)
15,20,-1,akg(e),EX_akg(e)
20,21,-1,co2(e),EX_co2(e)
25,22,-1,etoh(e),EX_etoh(e)
29,23,-1,for(e),EX_for(e)
30,24,-1,fru[e],EX_fru(e)
32,25,-1,fum(e),EX_fum(e)
35,26,-1,glc-D(e),EX_glc(e)
37,27,-1,gln-L(e),EX_gln_L(e)
39,28,-1,glu-L(e),EX_glu_L(e)
44,29,-1,h(e),EX_h(e)
42,30,-1,h2o(e),EX_h2o(e)
47,31,-1,lac-D(e),EX_lac_D(e)
49,32,-1,mal-L[e],EX_mal_L(e)
55,33,-1,nh4(e),EX_nh4(e)
57,34,-1,o2(e),EX_o2(e)
61,35,-1,pi(e),EX_pi(e)
63,36,-1,pyr(e),EX_pyr(e)
70,37,-1,succ(e),EX_succ(e)
22,38,1,dhap,FBA
27,38,-1,fdp,FBA
33,38,1,g3p,FBA
26,39,1,f6p,FBP
27,39,-1,fdp,FBP
41,39,-1,h2o,FBP
60,39,1,pi,FBP
28,40,1,for,FORt2
29,40,-1,for(e),FORt2
43,40,1,h,FORt2
44,40,-1,h(e),FORt2
28,41,-1,for,FORti
29,41,1,for(e),FORti
31,42,-1,fum,FRD7
64,42,1,q8,FRD7
65,42,-1,q8h2,FRD7
69,42,1,succ,FRD7
26,43,1,f6p,FRUpts2
30,43,-1,fru[e],FRUpts2
59,43,-1,pep,FRUpts2
62,43,1,pyr,FRUpts2
31,44,-1,fum,FUM
41,44,-1,h2o,FUM
48,44,1,mal-L,FUM
31,45,1,fum,FUMt2_2
32,45,-1,fum(e),FUMt2_2
43,45,2,h,FUMt2_2
44,45,-2,h(e),FUMt2_2
5,46,1,6pgl,G6PDH2r
34,46,-1,g6p,G6PDH2r
43,46,1,h,G6PDH2r
52,46,-1,nadp,G6PDH2r
53,46,1,nadph,G6PDH2r
1,47,1,13dpg,GAPD
33,47,-1,g3p,GAPD
43,47,1,h,GAPD
50,47,-1,nad,GAPD
51,47,1,nadh,GAPD
60,47,-1,pi,GAPD
34,48,1,g6p,GLCpts
35,48,-1,glc-D(e),GLCpts
59,48,-1,pep,GLCpts
62,48,1,pyr,GLCpts
13,49,1,adp,GLNS
17,49,-1,atp,GLNS
36,49,1,gln-L,GLNS
38,49,-1,glu-L,GLNS
43,49,1,h,GLNS
54,49,-1,nh4,GLNS
60,49,1,pi,GLNS
13,50,1,adp,GLNabc
17,50,-1,atp,GLNabc
36,50,1,gln-L,GLNabc
37,50,-1,gln-L(e),GLNabc
41,50,-1,h2o,GLNabc
43,50,1,h,GLNabc
60,50,1,pi,GLNabc
14,51,1,akg,GLUDy
38,51,-1,glu-L,GLUDy
41,51,-1,h2o,GLUDy
43,51,1,h,GLUDy
52,51,-1,nadp,GLUDy
53,51,1,nadph,GLUDy
54,51,1,nh4,GLUDy
36,52,-1,gln-L,GLUN
38,52,1,glu-L,GLUN
41,52,-1,h2o,GLUN
54,52,1,nh4,GLUN
14,53,-1,akg,GLUSy
36,53,-1,gln-L,GLUSy
38,53,2,glu-L,GLUSy
43,53,-1,h,GLUSy
52,53,1,nadp,GLUSy
53,53,-1,nadph,GLUSy
38,54,1,glu-L,GLUt2r
39,54,-1,glu-L(e),GLUt2r
43,54,1,h,GLUt2r
44,54,-1,h(e),GLUt2r
4,55,-1,6pgc,GND
19,55,1,co2,GND
52,55,-1,nadp,GND
53,55,1,nadph,GND
67,55,1,ru5p-D,GND
41,56,1,h2o,H2Ot
42,56,-1,h2o(e),H2Ot
14,57,1,akg,ICDHyr
19,57,1,co2,ICDHyr
45,57,-1,icit,ICDHyr
52,57,-1,nadp,ICDHyr
53,57,1,nadph,ICDHyr
40,58,1,glx,ICL
45,58,-1,icit,ICL
69,58,1,succ,ICL
43,59,1,h,LDH_D
46,59,-1,lac-D,LDH_D
50,59,-1,nad,LDH_D
51,59,1,nadh,LDH_D
62,59,1,pyr,LDH_D
10,60,-1,accoa,MALS
21,60,1,coa,MALS
40,60,-1,glx,MALS
41,60,-1,h2o,MALS
43,60,1,h,MALS
48,60,1,mal-L,MALS
43,61,2,h,MALt2_2
44,61,-2,h(e),MALt2_2
48,61,1,mal-L,MALt2_2
49,61,-1,mal-L[e],MALt2_2
43,62,1,h,MDH
48,62,-1,mal-L,MDH
50,62,-1,nad,MDH
51,62,1,nadh,MDH
58,62,1,oaa,MDH
19,63,1,co2,ME1
48,63,-1,mal-L,ME1
50,63,-1,nad,ME1
51,63,1,nadh,ME1
62,63,1,pyr,ME1
19,64,1,co2,ME2
48,64,-1,mal-L,ME2
52,64,-1,nadp,ME2
53,64,1,nadph,ME2
62,64,1,pyr,ME2
43,65,-4,h,NADH16
44,65,3,h(e),NADH16
50,65,1,nad,NADH16
51,65,-1,nadh,NADH16
64,65,-1,q8,NADH16
65,65,1,q8h2,NADH16
50,66,-1,nad,NADTRHD
51,66,1,nadh,NADTRHD
52,66,1,nadp,NADTRHD
53,66,-1,nadph,NADTRHD
54,67,1,nh4,NH4t
55,67,-1,nh4(e),NH4t
56,68,1,o2,O2t
57,68,-1,o2(e),O2t
10,69,1,accoa,PDH
19,69,1,co2,PDH
21,69,-1,coa,PDH
50,69,-1,nad,PDH
51,69,1,nadh,PDH
62,69,-1,pyr,PDH
13,70,1,adp,PFK
17,70,-1,atp,PFK
26,70,-1,f6p,PFK
27,70,1,fdp,PFK
43,70,1,h,PFK
10,71,1,accoa,PFL
21,71,-1,coa,PFL
28,71,1,for,PFL
62,71,-1,pyr,PFL
26,72,1,f6p,PGI
34,72,-1,g6p,PGI
1,73,1,13dpg,PGK
3,73,-1,3pg,PGK
13,73,1,adp,PGK
17,73,-1,atp,PGK
4,74,1,6pgc,PGL
5,74,-1,6pgl,PGL
41,74,-1,h2o,PGL
43,74,1,h,PGL
2,75,-1,2pg,PGM
3,75,1,3pg,PGM
43,76,1,h,PIt2r
44,76,-1,h(e),PIt2r
60,76,1,pi,PIt2r
61,76,-1,pi(e),PIt2r
19,77,-1,co2,PPC
41,77,-1,h2o,PPC
43,77,1,h,PPC
58,77,1,oaa,PPC
59,77,-1,pep,PPC
60,77,1,pi,PPC
13,78,1,adp,PPCK
17,78,-1,atp,PPCK
19,78,1,co2,PPCK
58,78,-1,oaa,PPCK
59,78,1,pep,PPCK
16,79,1,amp,PPS
17,79,-1,atp,PPS
41,79,-1,h2o,PPS
43,79,2,h,PPS
59,79,1,pep,PPS
60,79,1,pi,PPS
62,79,-1,pyr,PPS
10,80,-1,accoa,PTAr
12,80,1,actp,PTAr
21,80,1,coa,PTAr
60,80,-1,pi,PTAr
13,81,-1,adp,PYK
17,81,1,atp,PYK
43,81,-1,h,PYK
59,81,-1,pep,PYK
62,81,1,pyr,PYK
43,82,1,h,PYRt2r
44,82,-1,h(e),PYRt2r
62,82,1,pyr,PYRt2r
63,82,-1,pyr(e),PYRt2r
67,83,-1,ru5p-D,RPE
72,83,1,xu5p-D,RPE
66,84,-1,r5p,RPI
67,84,1,ru5p-D,RPI
43,85,2,h,SUCCt2_2
44,85,-2,h(e),SUCCt2_2
69,85,1,succ,SUCCt2_2
70,85,-1,succ(e),SUCCt2_2
43,86,1,h,SUCCt3
44,86,-1,h(e),SUCCt3
69,86,-1,succ,SUCCt3
70,86,1,succ(e),SUCCt3
31,87,1,fum,SUCDi
64,87,-1,q8,SUCDi
65,87,1,q8h2,SUCDi
69,87,-1,succ,SUCDi
13,88,1,adp,SUCOAS
17,88,-1,atp,SUCOAS
21,88,-1,coa,SUCOAS
60,88,1,pi,SUCOAS
69,88,-1,succ,SUCOAS
71,88,1,succoa,SUCOAS
23,89,1,e4p,TALA
26,89,1,f6p,TALA
33,89,-1,g3p,TALA
68,89,-1,s7p,TALA
43,90,2,h,THD2
44,90,-2,h(e),THD2
50,90,1,nad,THD2
51,90,-1,nadh,THD2
52,90,-1,nadp,THD2
53,90,1,nadph,THD2
33,91,1,g3p,TKT1
66,91,-1,r5p,TKT1
68,91,1,s7p,TKT1
72,91,-1,xu5p-D,TKT1
23,92,-1,e4p,TKT2
26,92,1,f6p,TKT2
33,92,1,g3p,TKT2
72,92,-1,xu5p-D,TKT2
22,93,-1,dhap,TPI
33,93,1,g3p,TPI
