id,y,e,L,V,c
13dpg,0.0,0.0,0.0,0.0,0.0
2pg,0.0,0.0,0.0,0.0,0.0
3pg,1.496,0.0,0.0,0.0,0.0
6pgc,0.0,0.0,0.0,0.0,0.0
6pgl,0.0,0.0,0.0,0.0,0.0
ac,0.0,0.0,0.0,0.0,0.0
ac[e],0.0,0.0,-1000.0,1000.0,0.0
acald,0.0,0.0,0.0,0.0,0.0
acald[e],0.0,0.0,-1000.0,1000.0,0.0
accoa,3.7478,0.0,0.0,0.0,0.0
acon-C,0.0,0.0,0.0,0.0,0.0
actp,0.0,0.0,0.0,0.0,0.0
adp,-59.81,-0.0004720000000000001,0.0,0.0,0.0
akg,-4.1182,0.0,0.0,0.0,0.0
akg[e],0.0,0.0,-1000.0,1000.0,0.0
amp,0.0,0.0,0.0,0.0,0.0
atp,59.81,0.0004720000000000001,0.0,0.0,0.0
cit,0.0,0.0,0.0,0.0,0.0
co2,0.0,0.0,0.0,0.0,0.0
co2[e],0.0,0.0,-1000.0,1000.0,0.0
coa,-3.7478,0.0,0.0,0.0,0.0
dhap,0.0,0.0,0.0,0.0,0.0
e4p,0.361,0.0,0.0,0.0,0.0
etoh,0.0,0.0,0.0,0.0,0.0
etoh[e],0.0,0.0,-1000.0,1000.0,0.0
f6p,0.0709,0.0,0.0,0.0,0.0
fdp,0.0,0.0,0.0,0.0,0.0
for,0.0,0.0,0.0,0.0,0.0
for[e],0.0,0.0,-1000.0,1000.0,0.0
fru[e],0.0,0.0,-1000.0,1000.0,0.0
fum,0.0,0.0,0.0,0.0,0.0
fum[e],0.0,0.0,-1000.0,1000.0,0.0
g3p,0.129,0.0,0.0,0.0,0.0
g6p,0.205,0.0,0.0,0.0,0.0
glc-D[e],0.0,0.0,-1000.0,1000.0,24.9
gln-L,0.2557,0.0,0.0,0.0,0.0
gln-L[e],0.0,0.0,-1000.0,1000.0,3.9
glu-L,4.9414,0.0,0.0,0.0,0.0
glu-L[e],0.0,0.0,-1000.0,1000.0,0.5
glx,0.0,0.0,0.0,0.0,0.0
h2o,59.81,8.0e-5,0.0,0.0,0.0
h2o[e],0.0,0.0,-1000.0,1000.0,100000.0
h,-59.81,-8.0e-5,0.0,0.0,0.0
h[e],0.0,0.0,-1000.0,1000.0,100000.0
icit,0.0,0.0,0.0,0.0,0.0
lac-D,0.0,0.0,0.0,0.0,0.0
lac-D[e],0.0,0.0,-1000.0,1000.0,0.0
mal-L,0.0,0.0,0.0,0.0,0.0
mal-L[e],0.0,0.0,-1000.0,1000.0,0.0
nad,3.547,0.0,0.0,0.0,0.0
nadh,-3.547,0.0,0.0,0.0,0.0
nadp,-13.0279,0.0,0.0,0.0,0.0
nadph,13.0279,0.0,0.0,0.0,0.0
nh4,0.0,0.0,0.0,0.0,0.0
nh4[e],0.0,0.0,-1000.0,1000.0,0.0
o2,0.0,0.0,0.0,0.0,0.0
o2[e],0.0,0.0,-1000.0,1000.0,100000.0
oaa,1.7867,0.0,0.0,0.0,0.0
pep,0.5191,0.0,0.0,0.0,0.0
pi,-59.81,-8.0e-5,0.0,0.0,0.0
pi[e],0.0,0.0,-1000.0,1000.0,0.41
pyr,2.8328,0.0,0.0,0.0,0.0
pyr[e],0.0,0.0,-1000.0,1000.0,0.0
q8,0.0,0.0,0.0,0.0,0.0
q8h2,0.0,0.0,0.0,0.0,0.0
r5p,0.8977,0.0,0.0,0.0,0.0
ru5p-D,0.0,0.0,0.0,0.0,0.0
s7p,0.0,0.0,0.0,0.0,0.0
succ,0.0,0.0,0.0,0.0,0.0
succ[e],0.0,0.0,-1000.0,1000.0,0.0
succoa,0.0,0.0,0.0,0.0,0.0
xu5p-D,0.0,0.0,0.0,0.0,0.0
