i,k,s,met,rxns
8,1,-1.0,acald,ACALD
10,1,1.0,accoa,ACALD
21,1,-1.0,coa,ACALD
43,1,1.0,h,ACALD
50,1,-1.0,nad,ACALD
51,1,1.0,nadh,ACALD
6,2,-1.0,ac,ACKr
12,2,1.0,actp,ACKr
13,2,1.0,adp,ACKr
17,2,-1.0,atp,ACKr
11,3,1.0,acon-C,ACONTa
18,3,-1.0,cit,ACONTa
41,3,1.0,h2o,ACONTa
11,4,-1.0,acon-C,ACONTb
41,4,-1.0,h2o,ACONTb
45,4,1.0,icit,ACONTb
13,5,2.0,adp,ADK1
16,5,-1.0,amp,ADK1
17,5,-1.0,atp,ADK1
14,6,-1.0,akg,AKGDH
19,6,1.0,co2,AKGDH
21,6,-1.0,coa,AKGDH
50,6,-1.0,nad,AKGDH
51,6,1.0,nadh,AKGDH
71,6,1.0,succoa,AKGDH
8,7,1.0,acald,ALCD2x
24,7,-1.0,etoh,ALCD2x
43,7,1.0,h,ALCD2x
50,7,-1.0,nad,ALCD2x
51,7,1.0,nadh,ALCD2x
13,8,1.0,adp,ATPM
17,8,-1.0,atp,ATPM
41,8,-1.0,h2o,ATPM
43,8,1.0,h,ATPM
60,8,1.0,pi,ATPM
13,9,-1.0,adp,ATPS4r
17,9,1.0,atp,ATPS4r
41,9,1.0,h2o,ATPS4r
43,9,3.0,h,ATPS4r
44,9,-4.0,h[e],ATPS4r
60,9,-1.0,pi,ATPS4r
10,10,-1.0,accoa,CS
18,10,1.0,cit,CS
21,10,1.0,coa,CS
41,10,-1.0,h2o,CS
43,10,1.0,h,CS
58,10,-1.0,oaa,CS
41,11,1.0,h2o,CYTBD
43,11,-2.0,h,CYTBD
44,11,2.0,h[e],CYTBD
56,11,-0.5,o2,CYTBD
64,11,1.0,q8,CYTBD
65,11,-1.0,q8h2,CYTBD
2,12,-1.0,2pg,ENO
41,12,1.0,h2o,ENO
59,12,1.0,pep,ENO
7,13,-1.0,ac[e],EX_ac(e)
9,14,-1.0,acald[e],EX_acald(e)
15,15,-1.0,akg[e],EX_akg(e)
20,16,-1.0,co2[e],EX_co2(e)
25,17,-1.0,etoh[e],EX_etoh(e)
29,18,-1.0,for[e],EX_for(e)
30,19,-1.0,fru[e],EX_fru(e)
32,20,-1.0,fum[e],EX_fum(e)
35,21,-1.0,glc-D[e],EX_glc(e)
37,22,-1.0,gln-L[e],EX_gln_L(e)
39,23,-1.0,glu-L[e],EX_glu_L(e)
44,24,-1.0,h[e],EX_h(e)
42,25,-1.0,h2o[e],EX_h2o(e)
47,26,-1.0,lac-D[e],EX_lac_D(e)
49,27,-1.0,mal-L[e],EX_mal_L(e)
55,28,-1.0,nh4[e],EX_nh4(e)
57,29,-1.0,o2[e],EX_o2(e)
61,30,-1.0,pi[e],EX_pi(e)
63,31,-1.0,pyr[e],EX_pyr(e)
70,32,-1.0,succ[e],EX_succ(e)
22,33,1.0,dhap,FBA
27,33,-1.0,fdp,FBA
33,33,1.0,g3p,FBA
26,34,1.0,f6p,FBP
27,34,-1.0,fdp,FBP
41,34,-1.0,h2o,FBP
60,34,1.0,pi,FBP
31,35,-1.0,fum,FRD7
64,35,1.0,q8,FRD7
65,35,-1.0,q8h2,FRD7
69,35,1.0,succ,FRD7
31,36,-1.0,fum,FUM
41,36,-1.0,h2o,FUM
48,36,1.0,mal-L,FUM
5,37,1.0,6pgl,G6PDH2r
34,37,-1.0,g6p,G6PDH2r
43,37,1.0,h,G6PDH2r
52,37,-1.0,nadp,G6PDH2r
53,37,1.0,nadph,G6PDH2r
1,38,1.0,13dpg,GAPD
33,38,-1.0,g3p,GAPD
43,38,1.0,h,GAPD
50,38,-1.0,nad,GAPD
51,38,1.0,nadh,GAPD
60,38,-1.0,pi,GAPD
13,39,1.0,adp,GLNS
17,39,-1.0,atp,GLNS
36,39,1.0,gln-L,GLNS
38,39,-1.0,glu-L,GLNS
43,39,1.0,h,GLNS
54,39,-1.0,nh4,GLNS
60,39,1.0,pi,GLNS
14,40,1.0,akg,GLUDy
38,40,-1.0,glu-L,GLUDy
41,40,-1.0,h2o,GLUDy
43,40,1.0,h,GLUDy
52,40,-1.0,nadp,GLUDy
53,40,1.0,nadph,GLUDy
54,40,1.0,nh4,GLUDy
36,41,-1.0,gln-L,GLUN
38,41,1.0,glu-L,GLUN
41,41,-1.0,h2o,GLUN
54,41,1.0,nh4,GLUN
14,42,-1.0,akg,GLUSy
36,42,-1.0,gln-L,GLUSy
38,42,2.0,glu-L,GLUSy
43,42,-1.0,h,GLUSy
52,42,1.0,nadp,GLUSy
53,42,-1.0,nadph,GLUSy
4,43,-1.0,6pgc,GND
19,43,1.0,co2,GND
52,43,-1.0,nadp,GND
53,43,1.0,nadph,GND
67,43,1.0,ru5p-D,GND
14,44,1.0,akg,ICDHyr
19,44,1.0,co2,ICDHyr
45,44,-1.0,icit,ICDHyr
52,44,-1.0,nadp,ICDHyr
53,44,1.0,nadph,ICDHyr
40,45,1.0,glx,ICL
45,45,-1.0,icit,ICL
69,45,1.0,succ,ICL
43,46,1.0,h,LDH_D
46,46,-1.0,lac-D,LDH_D
50,46,-1.0,nad,LDH_D
51,46,1.0,nadh,LDH_D
62,46,1.0,pyr,LDH_D
10,47,-1.0,accoa,MALS
21,47,1.0,coa,MALS
40,47,-1.0,glx,MALS
41,47,-1.0,h2o,MALS
43,47,1.0,h,MALS
48,47,1.0,mal-L,MALS
43,48,1.0,h,MDH
48,48,-1.0,mal-L,MDH
50,48,-1.0,nad,MDH
51,48,1.0,nadh,MDH
58,48,1.0,oaa,MDH
19,49,1.0,co2,ME1
48,49,-1.0,mal-L,ME1
50,49,-1.0,nad,ME1
51,49,1.0,nadh,ME1
62,49,1.0,pyr,ME1
19,50,1.0,co2,ME2
48,50,-1.0,mal-L,ME2
52,50,-1.0,nadp,ME2
53,50,1.0,nadph,ME2
62,50,1.0,pyr,ME2
43,51,-4.0,h,NADH16
44,51,3.0,h[e],NADH16
50,51,1.0,nad,NADH16
51,51,-1.0,nadh,NADH16
64,51,-1.0,q8,NADH16
65,51,1.0,q8h2,NADH16
50,52,-1.0,nad,NADTRHD
51,52,1.0,nadh,NADTRHD
52,52,1.0,nadp,NADTRHD
53,52,-1.0,nadph,NADTRHD
54,53,1.0,nh4,NH4t
55,53,-1.0,nh4[e],NH4t
10,54,1.0,accoa,PDH
19,54,1.0,co2,PDH
21,54,-1.0,coa,PDH
50,54,-1.0,nad,PDH
51,54,1.0,nadh,PDH
62,54,-1.0,pyr,PDH
13,55,1.0,adp,PFK
17,55,-1.0,atp,PFK
26,55,-1.0,f6p,PFK
27,55,1.0,fdp,PFK
43,55,1.0,h,PFK
10,56,1.0,accoa,PFL
21,56,-1.0,coa,PFL
28,56,1.0,for,PFL
62,56,-1.0,pyr,PFL
26,57,1.0,f6p,PGI
34,57,-1.0,g6p,PGI
1,58,1.0,13dpg,PGK
3,58,-1.0,3pg,PGK
13,58,1.0,adp,PGK
17,58,-1.0,atp,PGK
4,59,1.0,6pgc,PGL
5,59,-1.0,6pgl,PGL
41,59,-1.0,h2o,PGL
43,59,1.0,h,PGL
2,60,-1.0,2pg,PGM
3,60,1.0,3pg,PGM
43,61,1.0,h,PIt2r
44,61,-1.0,h[e],PIt2r
60,61,1.0,pi,PIt2r
61,61,-1.0,pi[e],PIt2r
19,62,-1.0,co2,PPC
41,62,-1.0,h2o,PPC
43,62,1.0,h,PPC
58,62,1.0,oaa,PPC
59,62,-1.0,pep,PPC
60,62,1.0,pi,PPC
13,63,1.0,adp,PPCK
17,63,-1.0,atp,PPCK
19,63,1.0,co2,PPCK
58,63,-1.0,oaa,PPCK
59,63,1.0,pep,PPCK
16,64,1.0,amp,PPS
17,64,-1.0,atp,PPS
41,64,-1.0,h2o,PPS
43,64,2.0,h,PPS
59,64,1.0,pep,PPS
60,64,1.0,pi,PPS
62,64,-1.0,pyr,PPS
10,65,-1.0,accoa,PTAr
12,65,1.0,actp,PTAr
21,65,1.0,coa,PTAr
60,65,-1.0,pi,PTAr
13,66,-1.0,adp,PYK
17,66,1.0,atp,PYK
43,66,-1.0,h,PYK
59,66,-1.0,pep,PYK
62,66,1.0,pyr,PYK
67,67,-1.0,ru5p-D,RPE
72,67,1.0,xu5p-D,RPE
66,68,-1.0,r5p,RPI
67,68,1.0,ru5p-D,RPI
31,69,1.0,fum,SUCDi
64,69,-1.0,q8,SUCDi
65,69,1.0,q8h2,SUCDi
69,69,-1.0,succ,SUCDi
13,70,1.0,adp,SUCOAS
17,70,-1.0,atp,SUCOAS
21,70,-1.0,coa,SUCOAS
60,70,1.0,pi,SUCOAS
69,70,-1.0,succ,SUCOAS
71,70,1.0,succoa,SUCOAS
23,71,1.0,e4p,TALA
26,71,1.0,f6p,TALA
33,71,-1.0,g3p,TALA
68,71,-1.0,s7p,TALA
43,72,2.0,h,THD2
44,72,-2.0,h[e],THD2
