i,k,s,met,rxn
8,1,-1.0,acald,ACALD
10,1,1.0,accoa,ACALD
21,1,-1.0,coa,ACALD
43,1,1.0,h,ACALD
50,1,-1.0,nad,ACALD
51,1,1.0,nadh,ACALD
8,2,1.0,acald,ACALDt
9,2,-1.0,acald[e],ACALDt
6,3,-1.0,ac,ACKr
12,3,1.0,actp,ACKr
13,3,1.0,adp,ACKr
17,3,-1.0,atp,ACKr
11,4,1.0,acon-C,ACONTa
18,4,-1.0,cit,ACONTa
41,4,1.0,h2o,ACONTa
11,5,-1.0,acon-C,ACONTb
41,5,-1.0,h2o,ACONTb
45,5,1.0,icit,ACONTb
6,6,1.0,ac,ACt2r
7,6,-1.0,ac(e),ACt2r
43,6,1.0,h,ACt2r
44,6,-1.0,h(e),ACt2r
13,7,2.0,adp,ADK1
16,7,-1.0,amp,ADK1
17,7,-1.0,atp,ADK1
14,8,-1.0,akg,AKGDH
19,8,1.0,co2,AKGDH
21,8,-1.0,coa,AKGDH
50,8,-1.0,nad,AKGDH
51,8,1.0,nadh,AKGDH
71,8,1.0,succoa,AKGDH
14,9,1.0,akg,AKGt2r
15,9,-1.0,akg(e),AKGt2r
43,9,1.0,h,AKGt2r
44,9,-1.0,h(e),AKGt2r
8,10,1.0,acald,ALCD2x
24,10,-1.0,etoh,ALCD2x
43,10,1.0,h,ALCD2x
50,10,-1.0,nad,ALCD2x
51,10,1.0,nadh,ALCD2x
13,11,1.0,adp,ATPM
17,11,-1.0,atp,ATPM
41,11,-1.0,h2o,ATPM
43,11,1.0,h,ATPM
60,11,1.0,pi,ATPM
13,12,-1.0,adp,ATPS4r
17,12,1.0,atp,ATPS4r
41,12,1.0,h2o,ATPS4r
43,12,3.0,h,ATPS4r
44,12,-4.0,h(e),ATPS4r
60,12,-1.0,pi,ATPS4r
3,13,-1.496,3pg,Biomass_Ecoli_core
10,13,-3.7478,accoa,Biomass_Ecoli_core
13,13,59.81,adp,Biomass_Ecoli_core
14,13,4.1182,akg,Biomass_Ecoli_core
17,13,-59.81,atp,Biomass_Ecoli_core
21,13,3.7478,coa,Biomass_Ecoli_core
23,13,-0.361,e4p,Biomass_Ecoli_core
26,13,-0.0709,f6p,Biomass_Ecoli_core
33,13,-0.129,g3p,Biomass_Ecoli_core
34,13,-0.205,g6p,Biomass_Ecoli_core
36,13,-0.2557,gln-L,Biomass_Ecoli_core
38,13,-4.9414,glu-L,Biomass_Ecoli_core
41,13,-59.81,h2o,Biomass_Ecoli_core
43,13,59.81,h,Biomass_Ecoli_core
50,13,-3.547,nad,Biomass_Ecoli_core
51,13,3.547,nadh,Biomass_Ecoli_core
52,13,13.0279,nadp,Biomass_Ecoli_core
53,13,-13.0279,nadph,Biomass_Ecoli_core
58,13,-1.7867,oaa,Biomass_Ecoli_core
59,13,-0.5191,pep,Biomass_Ecoli_core
60,13,59.81,pi,Biomass_Ecoli_core
62,13,-2.8328,pyr,Biomass_Ecoli_core
66,13,-0.8977,r5p,Biomass_Ecoli_core
19,14,1.0,co2,CO2t
20,14,-1.0,co2(e),CO2t
10,15,-1.0,accoa,CS
18,15,1.0,cit,CS
21,15,1.0,coa,CS
41,15,-1.0,h2o,CS
43,15,1.0,h,CS
58,15,-1.0,oaa,CS
41,16,1.0,h2o,CYTBD
43,16,-2.0,h,CYTBD
44,16,2.0,h(e),CYTBD
56,16,-0.5,o2,CYTBD
64,16,1.0,q8,CYTBD
65,16,-1.0,q8h2,CYTBD
43,17,1.0,h,D-LACt2
44,17,-1.0,h(e),D-LACt2
46,17,1.0,lac-D,D-LACt2
47,17,-1.0,lac-D(e),D-LACt2
2,18,-1.0,2pg,ENO
41,18,1.0,h2o,ENO
59,18,1.0,pep,ENO
24,19,1.0,etoh,ETOHt2r
25,19,-1.0,etoh(e),ETOHt2r
43,19,1.0,h,ETOHt2r
44,19,-1.0,h(e),ETOHt2r
7,20,-1.0,ac(e),EX_ac(e)
9,21,-1.0,acald[e],EX_acald(e)
15,22,-1.0,akg(e),EX_akg(e)
20,23,-1.0,co2(e),EX_co2(e)
25,24,-1.0,etoh(e),EX_etoh(e)
29,25,-1.0,for(e),EX_for(e)
30,26,-1.0,fru[e],EX_fru(e)
32,27,-1.0,fum(e),EX_fum(e)
35,28,-1.0,glc-D(e),EX_glc(e)
37,29,-1.0,gln-L(e),EX_gln_L(e)
39,30,-1.0,glu-L(e),EX_glu_L(e)
44,31,-1.0,h(e),EX_h(e)
42,32,-1.0,h2o(e),EX_h2o(e)
47,33,-1.0,lac-D(e),EX_lac_D(e)
49,34,-1.0,mal-L[e],EX_mal_L(e)
55,35,-1.0,nh4(e),EX_nh4(e)
57,36,-1.0,o2(e),EX_o2(e)
61,37,-1.0,pi(e),EX_pi(e)
63,38,-1.0,pyr(e),EX_pyr(e)
70,39,-1.0,succ(e),EX_succ(e)
22,40,1.0,dhap,FBA
27,40,-1.0,fdp,FBA
33,40,1.0,g3p,FBA
26,41,1.0,f6p,FBP
27,41,-1.0,fdp,FBP
41,41,-1.0,h2o,FBP
60,41,1.0,pi,FBP
28,42,1.0,for,FORt2
29,42,-1.0,for(e),FORt2
43,42,1.0,h,FORt2
44,42,-1.0,h(e),FORt2
28,43,-1.0,for,FORti
29,43,1.0,for(e),FORti
31,44,-1.0,fum,FRD7
64,44,1.0,q8,FRD7
65,44,-1.0,q8h2,FRD7
69,44,1.0,succ,FRD7
26,45,1.0,f6p,FRUpts2
30,45,-1.0,fru[e],FRUpts2
59,45,-1.0,pep,FRUpts2
62,45,1.0,pyr,FRUpts2
31,46,-1.0,fum,FUM
41,46,-1.0,h2o,FUM
48,46,1.0,mal-L,FUM
31,47,1.0,fum,FUMt2_2
32,47,-1.0,fum(e),FUMt2_2
43,47,2.0,h,FUMt2_2
44,47,-2.0,h(e),FUMt2_2
5,48,1.0,6pgl,G6PDH2r
34,48,-1.0,g6p,G6PDH2r
43,48,1.0,h,G6PDH2r
52,48,-1.0,nadp,G6PDH2r
53,48,1.0,nadph,G6PDH2r
1,49,1.0,13dpg,GAPD
33,49,-1.0,g3p,GAPD
43,49,1.0,h,GAPD
50,49,-1.0,nad,GAPD
51,49,1.0,nadh,GAPD
60,49,-1.0,pi,GAPD
34,50,1.0,g6p,GLCpts
35,50,-1.0,glc-D(e),GLCpts
59,50,-1.0,pep,GLCpts
62,50,1.0,pyr,GLCpts
13,51,1.0,adp,GLNS
17,51,-1.0,atp,GLNS
36,51,1.0,gln-L,GLNS
38,51,-1.0,glu-L,GLNS
43,51,1.0,h,GLNS
54,51,-1.0,nh4,GLNS
60,51,1.0,pi,GLNS
13,52,1.0,adp,GLNabc
17,52,-1.0,atp,GLNabc
36,52,1.0,gln-L,GLNabc
37,52,-1.0,gln-L(e),GLNabc
41,52,-1.0,h2o,GLNabc
43,52,1.0,h,GLNabc
60,52,1.0,pi,GLNabc
14,53,1.0,akg,GLUDy
38,53,-1.0,glu-L,GLUDy
41,53,-1.0,h2o,GLUDy
43,53,1.0,h,GLUDy
52,53,-1.0,nadp,GLUDy
53,53,1.0,nadph,GLUDy
54,53,1.0,nh4,GLUDy
36,54,-1.0,gln-L,GLUN
38,54,1.0,glu-L,GLUN
41,54,-1.0,h2o,GLUN
54,54,1.0,nh4,GLUN
14,55,-1.0,akg,GLUSy
36,55,-1.0,gln-L,GLUSy
38,55,2.0,glu-L,GLUSy
43,55,-1.0,h,GLUSy
52,55,1.0,nadp,GLUSy
53,55,-1.0,nadph,GLUSy
38,56,1.0,glu-L,GLUt2r
39,56,-1.0,glu-L(e),GLUt2r
43,56,1.0,h,GLUt2r
44,56,-1.0,h(e),GLUt2r
4,57,-1.0,6pgc,GND
19,57,1.0,co2,GND
52,57,-1.0,nadp,GND
53,57,1.0,nadph,GND
67,57,1.0,ru5p-D,GND
41,58,1.0,h2o,H2Ot
42,58,-1.0,h2o(e),H2Ot
14,59,1.0,akg,ICDHyr
19,59,1.0,co2,ICDHyr
45,59,-1.0,icit,ICDHyr
52,59,-1.0,nadp,ICDHyr
53,59,1.0,nadph,ICDHyr
40,60,1.0,glx,ICL
45,60,-1.0,icit,ICL
69,60,1.0,succ,ICL
43,61,1.0,h,LDH_D
46,61,-1.0,lac-D,LDH_D
50,61,-1.0,nad,LDH_D
51,61,1.0,nadh,LDH_D
62,61,1.0,pyr,LDH_D
10,62,-1.0,accoa,MALS
21,62,1.0,coa,MALS
40,62,-1.0,glx,MALS
41,62,-1.0,h2o,MALS
43,62,1.0,h,MALS
48,62,1.0,mal-L,MALS
43,63,2.0,h,MALt2_2
44,63,-2.0,h(e),MALt2_2
48,63,1.0,mal-L,MALt2_2
49,63,-1.0,mal-L[e],MALt2_2
43,64,1.0,h,MDH
48,64,-1.0,mal-L,MDH
50,64,-1.0,nad,MDH
51,64,1.0,nadh,MDH
58,64,1.0,oaa,MDH
19,65,1.0,co2,ME1
48,65,-1.0,mal-L,ME1
