i,k,v
2,1,1.0
3,1,-1.0
4,2,1.0
5,2,-1.0
6,3,1.0
7,3,-1.0
8,4,1.0
9,4,-1.0
10,5,1.0
11,5,-1.0
12,6,1.0
13,6,-1.0
14,7,1.0
15,7,-1.0
17,8,-1.0
18,8,1.0
16,9,1.0
18,9,-1.0
20,10,-1.0
21,10,1.0
19,11,1.0
21,11,-1.0
23,12,1.0
25,12,-1.0
354,12,1.0
459,12,-1.0
946,12,-1.0
952,12,1.0
1331,12,1.0
24,13,-1.0
25,13,1.0
58,14,-1.0
59,14,1.0
60,15,-1.0
61,15,1.0
62,16,-1.0
63,16,1.0
64,17,-1.0
65,17,1.0
66,18,1.0
68,18,-1.0
952,18,1.0
954,18,-1.0
67,19,-1.0
68,19,1.0
65,20,-1.0
233,20,1.0
948,20,-1.0
954,20,1.0
61,21,-1.0
173,21,1.0
948,21,-1.0
954,21,1.0
59,22,-1.0
168,22,1.0
948,22,-1.0
954,22,1.0
63,23,-1.0
179,23,1.0
948,23,-1.0
954,23,1.0
82,24,-1.0
83,24,1.0
117,25,1.0
118,25,-1.0
161,26,1.0
162,26,-1.0
159,27,1.0
160,27,-1.0
135,28,1.0
136,28,-1.0
133,29,1.0
134,29,-1.0
147,30,1.0
148,30,-1.0
145,31,1.0
146,31,-1.0
84,32,1.0
85,32,-1.0
86,33,1.0
87,33,-1.0
88,34,1.0
89,34,-1.0
90,35,1.0
91,35,-1.0
92,36,1.0
93,36,-1.0
94,37,1.0
95,37,-1.0
96,38,1.0
97,38,-1.0
84,39,-1.0
400,39,1.0
459,39,-1.0
615,39,-1.0
1273,39,1.0
1350,39,1.0
86,40,-1.0
400,40,1.0
459,40,-1.0
1275,40,1.0
1350,40,1.0
1565,40,-1.0
88,41,-1.0
400,41,1.0
459,41,-1.0
1277,41,1.0
1350,41,1.0
1568,41,-1.0
90,42,-1.0
400,42,1.0
459,42,-1.0
959,42,-1.0
1279,42,1.0
1350,42,1.0
92,43,-1.0
400,43,1.0
459,43,-1.0
962,43,-1.0
1281,43,1.0
1350,43,1.0
94,44,-1.0
400,44,1.0
459,44,-1.0
1225,44,-1.0
1283,44,1.0
1350,44,1.0
96,45,-1.0
400,45,1.0
459,45,-1.0
1228,45,-1.0
1285,45,1.0
1350,45,1.0
98,46,1.0
99,46,-1.0
100,47,1.0
101,47,-1.0
102,48,1.0
103,48,-1.0
104,49,1.0
